Accession	GenbankAcc	Length	Taxid	ProjectID	TaxName	Replicon	Create Date	Update Date
NC_004349.1	AE014300.1	161613	211586	57949	Shewanella oneidensis MR-1	plasmid megaplasmid	Sep 12 2002	Jul 22 2013  6:14:00:210PM
NC_004350.2	AE014133.2	2032925	210007	57947	Streptococcus mutans UA159	chromosome 	Oct 25 2002	Jun 27 2013  8:48:53:240PM
NC_004368.1	AL732656.1	2211485	211110	61585	Streptococcus agalactiae NEM316	chromosome 	Nov 15 2002	Jun 27 2013  8:48:15:490PM
NC_004369.1	BA000035.2	3147090	196164	62905	Corynebacterium efficiens YS-314	chromosome 	Nov 15 2002	Jun 10 2013  3:35:16:870PM
NC_002947.3	AE015451.1	6181863	160488	57843	Pseudomonas putida KT2440	chromosome 	Feb 14 2002	Jun 27 2013  8:39:45:893PM
NC_004431.1	AE014075.1	5231428	199310	57915	Escherichia coli CFT073	chromosome 	Dec 9 2002	Aug 26 2013 10:39:20:860PM
NC_004432.1	BA000026.2	1358633	272633	57729	Mycoplasma penetrans HF-2	chromosome 	Dec 12 2002	Jun 10 2013  3:36:01:546PM
NC_004459.3	AE016795.3	3281866	216895	62909	Vibrio vulnificus CMCP6	chromosome I	Dec 23 2002	Jul  6 2013 12:47:26:240PM
NC_004460.2	AE016796.2	1844830	216895	62909	Vibrio vulnificus CMCP6	chromosome II	Dec 23 2002	Jul  6 2013 12:48:13:596PM
NC_004461.1	AE015929.1	2499279	176280	57861	Staphylococcus epidermidis ATCC 12228	chromosome 	Jan 2 2003	Jun 10 2013  3:37:52:206PM
NC_004463.1	BA000040.2	9105828	224911	57599	Bradyrhizobium diazoefficiens USDA 110	chromosome 	Dec 27 2002	Jul 22 2013  5:50:28:763PM
NC_004545.1	AE016826.1	615980	224915	57827	Buchnera aphidicola str. Bp (Baizongia pistaciae)	chromosome 	Jan 27 2003	Jun 10 2013  3:38:09:350PM
NC_004556.1	AE009442.1	2519802	183190	57869	Xylella fastidiosa Temecula1	chromosome 	Feb 3 2003	Jun 10 2013  3:38:19:286PM
NC_004557.1	AE015927.1	2799251	212717	57683	Clostridium tetani E88	chromosome 	Feb 5 2003	Jun 10 2013  3:38:37:780PM
NC_004567.1	AL935263.2	3308274	220668	62911	Lactobacillus plantarum WCFS1	chromosome 	Feb 14 2003	Aug 26 2013 11:27:23:833PM
NC_004572.3	AE014184.1	927303	203267	57705	Tropheryma whipplei str. Twist	chromosome 	Feb 24 2003	Jun 27 2013  8:51:31:156PM
NC_004551.1	BX072543.1	925938	218496	57961	Tropheryma whipplei TW08/27	chromosome 	Feb 27 2003	Jun 10 2013  3:38:58:680PM
NC_004578.1	AE016853.1	6397126	223283	57967	Pseudomonas syringae pv. tomato str. DC3000	chromosome 	Mar 6 2003	Jun 10 2013  3:39:19:673PM
NC_004603.1	BA000031.2	3288558	223926	57969	Vibrio parahaemolyticus RIMD 2210633	chromosome 1	Mar 10 2003	Aug 26 2013 11:34:09:763PM
NC_004605.1	BA000032.2	1877212	223926	57969	Vibrio parahaemolyticus RIMD 2210633	chromosome 2	Mar 10 2003	Jun 10 2013  3:40:25:123PM
NC_004606.1	BA000034.2	1894275	193567	57895	Streptococcus pyogenes SSI-1	chromosome 	Mar 10 2003	Jun 10 2013  3:39:46:513PM
NC_004631.1	AE014613.1	4791961	209261	57973	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	chromosome 	Mar 21 2003	Aug 20 2013  4:29:25:206PM
NC_004663.1	AE015928.1	6260361	226186	62913	Bacteroides thetaiotaomicron VPI-5482	chromosome 	Mar 28 2003	Jul 22 2013  6:21:12:720PM
NC_004668.1	AE016830.1	3218031	226185	57669	Enterococcus faecalis V583	chromosome 	Mar 31 2003	Jul 22 2013  6:00:40:726PM
NC_002971.3	AE016828.2	1995281	227377	57631	Coxiella burnetii RSA 493	chromosome 	Aug 28 2001	Jul 22 2013  5:51:38:946PM
NC_003155.4	BA000030.3	9025608	227882	57739	Streptomyces avermitilis MA-4680	chromosome 	Oct 15 2001	Jun 10 2013  7:16:04:950PM
NC_003361.3	AE015925.1	1173390	227941	57783	Chlamydophila caviae GPIC	chromosome 	Feb 14 2002	Jun 10 2013  3:42:23:053PM
NC_004722.1	AE016877.1	5411809	226900	57975	Bacillus cereus ATCC 14579	chromosome 	Apr 17 2003	Aug 26 2013 11:55:15:006PM
NC_004741.1	AE014073.1	4599354	198215	57991	Shigella flexneri 2a str. 2457T	chromosome 	Apr 23 2003	Aug 26 2013 10:40:16:036PM
NC_004757.1	AL954747.1	2812094	228410	57647	Nitrosomonas europaea ATCC 19718	chromosome 	Apr 30 2003	Jun 10 2013  3:43:38:973PM
NC_003997.3		5227293	198094	57909	Bacillus anthracis str. Ames	chromosome 	May 16 2002	Jul 22 2013  6:12:12:726PM
NC_004829.2	AE015450.2	1012800	710127	57993	Mycoplasma gallisepticum str. R(low)	chromosome 	Jun 9 2003	Jun 27 2013  8:36:44:830PM
NC_002945.3	BX248333.1	4345492	233413	57695	Mycobacterium bovis AF2122/97	chromosome 	Jan 25 2001	Jul 22 2013  6:02:22:926PM
NC_004917.1	AE017125.1	1799146	235279	57737	Helicobacter hepaticus ATCC 51449	chromosome 	Jun 26 2003	Jun 10 2013  3:46:26:406PM
NC_005027.1	BX119912.1	7145576	243090	61589	Rhodopirellula baltica SH 1	chromosome 	Jul 8 2003	Jul 22 2013  6:19:42:740PM
NC_002940.2	AE017143.1	1698955	233412	57625	Haemophilus ducreyi 35000HP	chromosome 	Oct 24 2001	Jun 10 2013  3:47:43:210PM
NC_005042.1	AE017126.1	1751080	167539	57995	Prochlorococcus marinus subsp. marinus str. CCMP1375	chromosome 	Jul 25 2003	Sep  6 2013  6:38:31:483PM
NC_005043.1	AE009440.1	1225935	182082	57997	Chlamydophila pneumoniae TW-183	chromosome 	Jul 25 2003	Jun 10 2013  3:48:02:123PM
NC_005061.1	BX248583.1	705557	203907	57999	Candidatus Blochmannia floridanus	chromosome 	Aug 8 2003	Jun 10 2013  3:48:10:810PM
NC_002929.2	BX470248.1	4086189	257313	57617	Bordetella pertussis Tohama I	chromosome 	Nov 6 2001	Jul 22 2013  5:42:12:200PM
NC_002928.3	BX470249.1	4773551	257311	57615	Bordetella parapertussis 12822	chromosome 	Nov 6 2001	Jun 10 2013  3:49:01:540PM
NC_002927.3	BX470250.1	5339179	257310	57613	Bordetella bronchiseptica RB50	chromosome 	Nov 6 2001	Jun 10 2013  3:49:48:140PM
NC_005072.1	BX548174.1	1657990	59919	57761	Prochlorococcus marinus subsp. pastoris str. CCMP1986	chromosome 	Aug 19 2003	Jun 10 2013  3:50:11:653PM
NC_005071.1	BX548175.1	2410873	74547	57773	Prochlorococcus marinus str. MIT 9313	chromosome 	Aug 19 2003	Jun 10 2013  3:50:24:243PM
NC_005070.1	BX548020.1	2434428	84588	61581	Synechococcus sp. WH 8102	chromosome 	Aug 19 2003	May 23 2013  5:53:43:390AM
NC_005085.1	AE016825.1	4751080	243365	58001	Chromobacterium violaceum ATCC 12472	chromosome 	Sep 8 2003	Jun 10 2013  3:50:46:823PM
NC_002950.2	AE015924.1	2343476	242619	57641	Porphyromonas gingivalis W83	chromosome 	Dec 7 2001	Jun 27 2013  8:38:23:450PM
NC_005090.1	BX571656.1	2110355	273121	61591	Wolinella succinogenes DSM 1740	chromosome 	Sep 10 2003	May 23 2013  6:01:33:586AM
NC_005125.1	BA000045.2	4659019	251221	58011	Gloeobacter violaceus PCC 7421	chromosome 	Oct 6 2003	Jul 22 2013  6:15:08:196PM
NC_005126.1	BX470251.1	5688987	243265	61593	Photorhabdus luminescens subsp. laumondii TTO1	chromosome 	Oct 6 2003	May 24 2013  1:58:17:566PM
NC_005139.1	BA000037.2	3354505	196600	58007	Vibrio vulnificus YJ016	chromosome I	Oct 15 2003	Jun 10 2013  3:52:07:706PM
NC_005140.1	BA000038.2	1857073	196600	58007	Vibrio vulnificus YJ016	chromosome II	Oct 15 2003	Jun 10 2013  3:51:56:533PM
NC_002935.2	BX248353.1	2488635	257309	57691	Corynebacterium diphtheriae NCTC 13129	chromosome 	Nov 6 2001	Jun 10 2013  3:52:19:326PM
NC_005213.1	AE017199.1	490885	228908	58009	Nanoarchaeum equitans Kin4-M	chromosome 	Nov 17 2003	Jun 10 2013  3:52:27:076PM
NC_005296.1	BX571963.1	5459213	258594	62901	Rhodopseudomonas palustris CGA009	chromosome 	Dec 16 2003	Jun 27 2013  8:43:04:343PM
NC_005303.2	AP006628.2	853092	262768	58015	Onion yellows phytoplasma OY-M	chromosome 	Dec 16 2003	Jun 10 2013  9:31:49:646PM
NC_002939.4	AE017180.1	3814139	243231	57743	Geobacter sulfurreducens PCA	chromosome 	Feb 14 2002	Aug 27 2013  9:24:59:603AM
NC_002944.2	AE016958.1	4829781	262316	57699	Mycobacterium avium subsp. paratuberculosis K-10	chromosome 	Dec 27 2001	Jun 10 2013  3:52:59:920PM
NC_002967.9	AE017226.1	2843201	243275	57583	Treponema denticola ATCC 35405	chromosome 	Feb 14 2002	Jun 10 2013  3:53:22:713PM
NC_005362.1	AE017198.1	1992676	257314	58029	Lactobacillus johnsonii NCC 533	chromosome 	Feb 11 2004	Jun 27 2013  8:33:47:180PM
NC_002978.6	AE017196.1	1267782	163164	57851	Wolbachia endosymbiont of Drosophila melanogaster	chromosome 	Jan 16 2002	Jun 10 2013  3:53:45:960PM
NC_005363.1	BX842601.2	3782950	264462	61595	Bdellovibrio bacteriovorus HD100	chromosome 	Feb 11 2004	Aug 14 2013  7:12:54:010PM
NC_005364.2	BX293980.2	1211703	272632	58031	Mycoplasma mycoides subsp. mycoides SC str. PG1	chromosome 	Feb 17 2004	Jul 22 2013  6:15:24:360PM
NC_003909.8		5224283	222523	57673	Bacillus cereus ATCC 10987	chromosome 	Apr 10 2002	Jun 10 2013  3:54:16:320PM
NC_005791.1	BX950229.1	1661137	267377	58035	Methanococcus maripaludis S2	chromosome 	Mar 11 2004	Jun 27 2013  8:36:07:720PM
NC_005810.1	AE017042.1	4595065	229193	58037	Yersinia pestis biovar Microtus str. 91001	chromosome 	Mar 15 2004	Aug 27 2013 12:07:53:936AM
NC_005823.1	AE016823.1	4277185	267671	58065	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	chromosome I	Mar 23 2004	Jun 10 2013  3:55:35:926PM
NC_005824.1	AE016824.1	350181	267671	58065	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	chromosome II	Mar 23 2004	Jun 10 2013  3:55:17:346PM
NC_005835.1	AE017221.1	1894877	262724	58033	Thermus thermophilus HB27	chromosome 	Apr 5 2004	Jun 27 2013  8:51:19:853PM
NC_005861.1	BX908798.1	2414465	264201	58079	Candidatus Protochlamydia amoebophila UWE25	chromosome 	Apr 21 2004	Jun 10 2013  3:56:06:113PM
NC_002937.3	AE017285.1	3570858	882	57645	Desulfovibrio vulgaris str. Hildenborough	chromosome 	Oct 3 2001	Aug 26 2013 10:43:15:990PM
NC_002973.6	AE017262.2	2905187	265669	57689	Listeria monocytogenes serotype 4b str. F2365	chromosome 	Aug 28 2001	Jun 10 2013  4:58:26:340PM
